area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_inr,price_per_sqft
Built-up  Area,18-Nov,Kaggadasapura Layout,5 BHK,3173.0,4.0,3.0,124.3,5,12430000.0,3917.4283012921524
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1219.0,1.0,1.0,65.78,2,6578000.0,5396.226415094339
Built-up  Area,Ready To Move,Indiranagar,2 BHK,1175.5,2.0,1.0,141.79,2,14179000.0,12062.101233517653
Super built-up  Area,19-May,Btm Layout,2 BHK,1196.39,2.0,2.0,72.26,2,7226000.000000001,6039.836508162054
Super built-up  Area,19-Mar,Marathahalli,1 BHK,591.153388,1.0,2.0,44.16,1,4416000.0,7470.14241928019
Super built-up  Area,Ready To Move,Varthur,2 BHK,1393.77,2.0,1.0,52.14,2,5214000.0,3740.9328655373556
Built-up  Area,Ready To Move,Domlur,3 BHK,2004.19,3.0,0.0,204.36,3,20436000.0,10196.638043299288
Super built-up  Area,Ready To Move,Kr Puram,4 BHK,2010.0,5.0,2.0,97.61,4,9761000.0,4856.218905472637
Built-up  Area,18-Nov,Kengeri,1 BHK,634.5,2.0,2.0,25.11,1,2511000.0,3957.446808510638
Super built-up  Area,Ready To Move,Malleshwaram,5 BHK,3246.0,4.0,1.0,339.37,5,33937000.0,10455.02156500308
Super built-up  Area,Ready To Move,Vishveshwarya Layout Enclave,1 BHK,645.5,1.0,2.0,69.64,1,6964000.0,10788.536018590241
Plot  Area,Ready To Move,Nagarbhavi Colony,3 BHK,1742.4,3.0,2.0,88.97,3,8897000.0,5106.1753902662995
Carpet  Area,Ready To Move,Hebbal,2 BHK,1261.0,1.0,3.0,93.42,2,9342000.0,7408.406026962728
Super built-up  Area,19-Mar,Yelenahalli Township,2 BHK,1336.22,3.0,1.0,57.83,2,5783000.0,4327.880139497986
Carpet  Area,18-Dec,Malleshwaram,1 BHK,518.5,2.0,2.0,52.02,1,5202000.0,10032.786885245901
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1247.0,3.0,2.0,74.33,3,7433000.0,5960.705693664796
Built-up  Area,Ready To Move,Kanakapura Road,1 BHK,637.0,1.0,2.0,25.52,1,2552000.0,4006.2794348508633
Plot  Area,Ready To Move,Marathahalli,1 BHK,614.196,1.0,1.0,38.27,1,3827000.0000000005,6230.910002670158
Super built-up  Area,Ready To Move,Varthur,1 Bedroom,497.0,1.0,2.0,21.75,1,2175000.0,4376.25754527163
Carpet  Area,Ready To Move,Marathahalli,3 BHK,1443.0,3.0,1.0,104.2,3,10420000.0,7221.067221067221
Carpet  Area,Ready To Move,Rajaji Nagar,2 BHK,903.0,1.0,2.0,84.78,2,8478000.0,9388.704318936878
Super built-up  Area,Ready To Move,Whitefield,5 Bedroom,2994.0,5.0,2.0,173.9,5,17390000.0,5808.283233132933
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1828.0,3.0,2.0,119.56,3,11956000.0,6540.481400437637
Built-up  Area,19-Aug,Hebbal,5 BHK,2613.6,5.0,1.0,207.66,5,20766000.0,7945.362718089991
Plot  Area,Ready To Move,Sarjapur Road,5 BHK,2625.0,5.0,1.0,153.41,5,15341000.0,5844.190476190476
Plot  Area,Ready To Move,Akshaya Nagar Extension,1 BHK,694.84,2.0,2.0,30.22,1,3022000.0,4349.202694145414
Built-up  Area,Ready To Move,Electronic City,4 BHK,2757.348,3.0,1.0,116.52,4,11652000.0,4225.7995726328345
Built-up  Area,Ready To Move,Sathanur Gardens,3 BHK,2076.0,4.0,0.0,98.6,3,9860000.0,4749.518304431599
Plot  Area,Ready To Move,Banashankari,4 BHK,2690.0,4.0,0.0,201.88,4,20188000.0,7504.832713754647
Super built-up  Area,Ready To Move,Basavanagudi,2 BHK,1256.0,1.0,3.0,131.9,2,13190000.0,10501.592356687897
Super built-up  Area,Ready To Move,Basavanagudi,3 BHK,1380.0,4.0,2.0,130.24,3,13024000.0,9437.68115942029
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,1030.0,2.0,1.0,51.17,2,5117000.0,4967.961165048544
Super built-up  Area,18-Dec,Kanakapura Road,4 Bedroom,2622.312,4.0,1.0,108.43,4,10843000.0,4134.90080509108
Super built-up  Area,Ready To Move,Koramangala,1 Bedroom,491.0,1.0,2.0,54.25,1,5425000.0,11048.87983706721
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,902.0,3.0,1.0,49.37,2,4937000.0,5473.392461197339
Plot  Area,18-Dec,Kr Puram,3 BHK,1878.0,3.0,2.0,88.58,3,8858000.0,4716.719914802982
Super built-up  Area,19-May,Kr Puram,3 BHK,1775.0,4.0,3.0,72.27,3,7227000.0,4071.549295774648
Super built-up  Area,19-Mar,Jp Nagar,2 Bedroom,871.2,2.0,2.0,64.42,2,6442000.0,7394.398530762167
Built-up  Area,Ready To Move,Jayanagar,2 BHK,1183.86,1.0,0.0,120.44,2,12044000.0,10173.500244961398
Built-up  Area,19-Mar,Kr Puram,1 BHK,860.5,1.0,0.0,44.39,1,4439000.0,5158.62870424172
Built-up  Area,Ready To Move,Btm Layout,2 BHK,1236.0,1.0,0.0,68.07,2,6806999.999999999,5507.281553398057
Super built-up  Area,18-Jun,Vijayanagar,2 BHK,916.0,2.0,3.0,58.57,2,5857000.0,6394.10480349345
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,871.2,2.0,3.0,49.26,2,4926000.0,5654.269972451791
Super built-up  Area,Ready To Move,Marathahalli,2 Bedroom,994.5,3.0,2.0,66.16,2,6616000.0,6652.5892408245345
Super built-up  Area,Ready To Move,Yeshwanthpur,4 BHK,2686.0,4.0,2.0,208.54,4,20854000.0,7763.961280714818
Super built-up  Area,Ready To Move,Other,2 Bedroom,1074.5,3.0,2.0,86.67,2,8667000.0,8066.07724523034
Built-up  Area,Ready To Move,Jp Nagar,1 BHK,441.0,1.0,0.0,32.9,1,3290000.0,7460.31746031746
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,1215.0,1.0,0.0,140.52,2,14052000.000000002,11565.432098765434
Built-up  Area,19-Aug,Hsr Layout,1 Bedroom,532.0,1.0,0.0,45.28,1,4528000.0,8511.278195488721
Super built-up  Area,Ready To Move,Chandapura Extension,3 BHK,1975.5,3.0,3.0,181.76,3,18176000.0,9200.708681346494
Super built-up  Area,18-Nov,Pattandur Agrahara Colony,4 BHK,1803.0,4.0,3.0,106.88,4,10688000.0,5927.89794786467
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,1758.41,3.0,1.0,101.48,3,10148000.0,5771.122775689401
Plot  Area,18-Nov,Kadugodi Gardens,2 BHK,1063.5,2.0,1.0,39.48,2,3947999.9999999995,3712.270803949224
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1782.0,3.0,2.0,111.3,3,11130000.0,6245.791245791246
Super built-up  Area,18-Dec,Attibele Phase 2,3 Bedroom,1878.31,2.0,2.0,165.1,3,16510000.0,8789.816377488274
Built-up  Area,19-Aug,Cv Raman Nagar,2 BHK,1413.0,2.0,1.0,89.97,2,8997000.0,6367.303609341826
Built-up  Area,18-Dec,Yelahanka,3 Bedroom,1723.3425,4.0,1.0,73.16,3,7316000.0,4245.238540800799
Carpet  Area,Ready To Move,Uttarahalli,2 BHK,848.31,2.0,1.0,32.64,2,3264000.0,3847.650033596209
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,1333.26,2.0,0.0,129.79,2,12979000.0,9734.785413197726
Plot  Area,Ready To Move,Frazer Town,3 BHK,1759.28,2.0,2.0,173.38,3,17338000.0,9855.168023282253
Built-up  Area,Ready To Move,Pattandur Agrahara Phase 2,3 BHK,1873.99,2.0,2.0,91.43,3,9143000.0,4878.894764646556
Carpet  Area,Ready To Move,Ramamurthy Nagar Cross,4 Bedroom,2729.0,4.0,3.0,164.46,4,16446000.0,6026.383290582631
Super built-up  Area,Ready To Move,Talaghattapura Stage 2,2 Bedroom,1080.0,2.0,1.0,117.0,2,11700000.0,10833.333333333334
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1306.0,1.0,1.0,43.96,2,4396000.0,3366.0030627871365
Super built-up  Area,Ready To Move,Nagavara Enclave,2 BHK,1149.0,3.0,0.0,39.05,2,3904999.9999999995,3398.6074847693644
Super built-up  Area,Ready To Move,Jp Nagar,2 BHK,1342.5,2.0,1.0,88.31,2,8831000.0,6578.026070763501
Built-up  Area,Ready To Move,Btm Layout,4 BHK,2892.0,4.0,0.0,148.59,4,14859000.0,5137.9668049792535
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,2142.0,4.0,0.0,107.74,3,10774000.0,5029.878618113912
Built-up  Area,Ready To Move,Vasanthapura Nagar,3 Bedroom,1891.5,3.0,1.0,95.07,3,9507000.0,5026.169706582078
Super built-up  Area,Ready To Move,Jayanagar,4 BHK,2816.0,4.0,0.0,242.08,4,24208000.0,8596.59090909091
Plot  Area,Ready To Move,Basavanagudi,3 BHK,1663.0,2.0,3.0,150.91,3,15091000.0,9074.564040889958
Super built-up  Area,Ready To Move,Sarjapur Enclave,2 BHK,1061.0,2.0,0.0,32.31,2,3231000.0,3045.2403393025447
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1314.0,3.0,0.0,87.85,2,8785000.0,6685.692541856925
Super built-up  Area,Ready To Move,Jp Nagar,2 Bedroom,963.36,2.0,1.0,64.48,2,6448000.0,6693.240325527321
Built-up  Area,18-Nov,Yeshwanthpur,2 BHK,1017.0,1.0,3.0,63.12,2,6312000.0,6206.489675516224
Super built-up  Area,Ready To Move,Yelenahalli Layout,4 BHK,2375.0,5.0,1.0,121.49,4,12149000.0,5115.368421052632
Built-up  Area,Ready To Move,Btm Layout,2 BHK,960.0,3.0,1.0,63.15,2,6315000.0,6578.125
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,888.3,3.0,1.0,40.46,2,4046000.0,4554.767533490938
Super built-up  Area,19-May,Whitefield,4 BHK,2021.0,3.0,2.0,103.47,4,10347000.0,5119.742701632855
Super built-up  Area,Ready To Move,Uttarahalli,3 Bedroom,1828.0,2.0,0.0,79.7,3,7970000.0,4359.956236323851
Built-up  Area,18-Jun,Hsr Layout,4 Bedroom,2870.0,4.0,2.0,250.25,4,25025000.0,8719.512195121952
Super built-up  Area,Ready To Move,Banashankari,1 BHK,646.13,1.0,3.0,36.57,1,3657000.0,5659.851732623466
Super built-up  Area,Ready To Move,Rt Nagar,2 BHK,1024.0,3.0,0.0,55.53,2,5553000.0,5422.8515625
Super built-up  Area,Ready To Move,Kr Puram,3 BHK,1435.0,3.0,0.0,60.43,3,6043000.0,4211.149825783972
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,2248.0,2.0,2.0,125.17,3,12517000.0,5568.0604982206405
Super built-up  Area,18-Dec,Yelahanka,3 BHK,1920.0,3.0,1.0,96.5,3,9650000.0,5026.041666666667
Super built-up  Area,Ready To Move,Rt Nagar,2 Bedroom,1038.0,2.0,2.0,60.58,2,6058000.0,5836.223506743738
Carpet  Area,Ready To Move,Whitefield Hope Farm Enclave,2 Bedroom,1136.94,2.0,2.0,63.73,2,6373000.0,5605.396942670677
Super built-up  Area,Ready To Move,Sarjapur Enclave,1 BHK,703.39,1.0,2.0,26.11,1,2611000.0,3712.0232019221203
Carpet  Area,19-May,Vijayanagar,4 BHK,2676.0,4.0,2.0,164.26,4,16426000.0,6138.2660687593425
Super built-up  Area,Ready To Move,Sarjapur Enclave,2 BHK,1246.0,3.0,0.0,45.29,2,4529000.0,3634.8314606741574
Super built-up  Area,Ready To Move,Sompura Main Road,1 BHK,607.0,2.0,0.0,37.54,1,3754000.0,6184.514003294893
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,1863.0,3.0,3.0,93.13,3,9313000.0,4998.926462694579
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1881.88,3.0,1.0,99.52,3,9952000.0,5288.328692584011
Super built-up  Area,Ready To Move,Varthur,3 BHK,1376.0,3.0,0.0,71.1,3,7109999.999999999,5167.151162790697
Super built-up  Area,19-Mar,Kaggadasapura Block,2 BHK,986.0,2.0,0.0,59.84,2,5984000.0,6068.9655172413795
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,936.0,2.0,0.0,45.21,2,4521000.0,4830.128205128205
Carpet  Area,Ready To Move,Sarjapur Enclave,2 Bedroom,1199.72,1.0,1.0,45.45,2,4545000.0,3788.38395625646
Super built-up  Area,Ready To Move,Jp Nagar,4 BHK,2700.0,4.0,2.0,219.34,4,21934000.0,8123.7037037037035
Built-up  Area,Ready To Move,Jp Nagar,2 BHK,1349.0,2.0,0.0,85.59,2,8559000.0,6344.6997776130465
Built-up  Area,Ready To Move,Kanakapura Road,1 BHK,661.0,1.0,0.0,24.42,1,2442000.0,3694.4024205748865
Super built-up  Area,Ready To Move,Nagarbhavi Colony,2 Bedroom,893.0,2.0,1.0,43.52,2,4352000.0,4873.4602463605825
Plot  Area,18-Jun,Banashankari,3 Bedroom,1938.0,3.0,3.0,122.5,3,12250000.0,6320.949432404541
Built-up  Area,Ready To Move,Yelahanka,2 BHK,884.0,3.0,1.0,41.39,2,4139000.0,4682.126696832579
Super built-up  Area,18-Jun,Uttarahalli,1 BHK,368.0,2.0,2.0,12.82,1,1282000.0,3483.695652173913
Plot  Area,19-Aug,Kaggadasapura Cross,2 BHK,1062.5,3.0,0.0,67.9,2,6790000.000000001,6390.588235294119
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1302.0,2.0,0.0,62.36,2,6236000.0,4789.5545314900155
Built-up  Area,Ready To Move,Doddakannelli Enclave,3 BHK,1424.0,3.0,2.0,136.69,3,13669000.0,9599.016853932584
Plot  Area,Ready To Move,Yeshwanthpur,4 Bedroom,1868.0,4.0,1.0,131.87,4,13187000.0,7059.421841541756
Super built-up  Area,18-Jun,Nagarbhavi Gardens,3 Bedroom,1490.0,2.0,2.0,160.06,3,16006000.0,10742.28187919463
Built-up  Area,19-May,Devanahalli Nagar,4 BHK,2069.1,5.0,1.0,111.41,4,11141000.0,5384.466676332705
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,1842.0,3.0,3.0,244.34,3,24434000.0,13264.929424538544
Super built-up  Area,18-Nov,Hebbal,3 BHK,1709.0,3.0,2.0,119.22,3,11922000.0,6976.009362200117
Built-up  Area,Ready To Move,Kengeri,3 BHK,2127.0,2.0,0.0,85.14,3,8514000.0,4002.820874471086
Carpet  Area,Ready To Move,Uttarahalli,5 BHK,3484.8,4.0,3.0,114.54,5,11454000.0,3286.845730027548
Super built-up  Area,19-Aug,Marathahalli,4 BHK,2569.14,4.0,1.0,160.37,4,16037000.0,6242.166639420196
Built-up  Area,Ready To Move,Electronic City,4 BHK,1942.0,5.0,1.0,85.24,4,8524000.0,4389.289392378991
Super built-up  Area,Ready To Move,Sathanur Enclave,2 BHK,920.99,2.0,1.0,59.88,2,5988000.0,6501.699258406715
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1331.5,1.0,0.0,50.65,2,5065000.0,3803.980473150582
Built-up  Area,18-Nov,Varthur,5 BHK,2738.0,5.0,2.0,117.13,5,11713000.0,4277.940102264427
Super built-up  Area,Ready To Move,Electronic City,4 Bedroom,2126.0,4.0,2.0,94.54,4,9454000.0,4446.848541862653
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1233.2925,2.0,2.0,91.43,2,9143000.0,7413.488689828244
Built-up  Area,Ready To Move,Varthur,1 BHK,592.416,1.0,3.0,27.86,1,2786000.0,4702.776427375357
Super built-up  Area,18-Jun,Hebbal,3 BHK,1742.4,3.0,1.0,131.71,3,13171000.0,7559.113865932048
Built-up  Area,Ready To Move,Varthur,1 BHK,542.0,1.0,2.0,20.55,1,2055000.0,3791.512915129151
Built-up  Area,Ready To Move,Electronic City,1 BHK,413.0,1.0,0.0,16.78,1,1678000.0,4062.953995157385
Super built-up  Area,18-Nov,Thanisandra Phase 1,3 Bedroom,1401.0,4.0,2.0,47.58,3,4758000.0,3396.1456102783727
Built-up  Area,Ready To Move,Kengeri,3 BHK,1703.71,3.0,1.0,61.29,3,6129000.0,3597.4432268402484
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1930.0,3.0,0.0,77.13,3,7713000.0,3996.373056994819
Carpet  Area,Ready To Move,Yelahanka,2 BHK,1058.0,2.0,1.0,50.05,2,5005000.0,4730.62381852552
Super built-up  Area,Ready To Move,Hennur,2 BHK,1177.0,2.0,2.0,78.85,2,7884999.999999999,6699.2353440951565
Super built-up  Area,Ready To Move,Uttarahalli,3 Bedroom,1478.86,4.0,0.0,61.51,3,6151000.0,4159.2848545501265
Built-up  Area,Ready To Move,Doddakannelli Enclave,1 Bedroom,572.0,1.0,1.0,56.59,1,5659000.0,9893.356643356643
Built-up  Area,Ready To Move,Electronic City,4 BHK,2035.92,5.0,2.0,106.05,4,10605000.0,5208.94730637746
Super built-up  Area,18-Nov,Varthur,4 Bedroom,2788.0,4.0,1.0,135.69,4,13569000.0,4866.929698708752
Super built-up  Area,19-Aug,Rt Nagar,2 BHK,1346.0,3.0,2.0,79.92,2,7992000.0,5937.592867756315
Carpet  Area,Ready To Move,Yeshwanthpur,2 BHK,1332.0,2.0,2.0,90.17,2,9017000.0,6769.519519519519
Plot  Area,Ready To Move,Bellandur,2 Bedroom,1302.0,2.0,1.0,85.89,2,8589000.0,6596.774193548387
Super built-up  Area,Ready To Move,Btm Layout,2 BHK,1442.5,2.0,2.0,104.93,2,10493000.0,7274.176776429809
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,585.0,1.0,2.0,77.19,1,7719000.0,13194.871794871795
Super built-up  Area,19-Mar,Vishveshwarya Layout Enclave,3 BHK,1993.0,3.0,3.0,200.6,3,20060000.0,10065.228299046663
Carpet  Area,Ready To Move,Marathahalli,2 BHK,1242.0,2.0,1.0,69.49,2,6948999.999999999,5595.00805152979
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1310.0,1.0,0.0,54.5,2,5450000.0,4160.305343511451
Super built-up  Area,19-May,Bellandur,3 BHK,1893.0,4.0,3.0,119.09,3,11909000.0,6291.072371896461
Built-up  Area,Ready To Move,Koramangala,3 BHK,1984.0,3.0,2.0,300.26,3,30026000.0,15134.072580645161
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1277.5,1.0,0.0,85.99,2,8599000.0,6731.115459882583
Plot  Area,18-Nov,Vasanthapura Extension,1 BHK,648.91,1.0,3.0,62.97,1,6297000.0,9703.965110724137
Super built-up  Area,18-Jun,Harlur Nagar,3 BHK,2139.0,3.0,1.0,201.61,3,20161000.0,9425.432445067789
Built-up  Area,Ready To Move,Hennur,3 Bedroom,1333.61,3.0,1.0,85.3,3,8530000.0,6396.172794145215
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1764.0,3.0,2.0,102.04,3,10204000.0,5784.580498866213
Super built-up  Area,18-Nov,Hennur,2 BHK,1279.9,3.0,1.0,67.84,2,6784000.0,5300.4140948511595
Super built-up  Area,Ready To Move,Yelenahalli Extension,3 Bedroom,1601.0,4.0,0.0,76.26,3,7626000.000000001,4763.272954403498
Built-up  Area,Ready To Move,Malleshwaram,2 Bedroom,1437.5,1.0,0.0,189.59,2,18959000.0,13188.869565217392
Carpet  Area,Ready To Move,Chandapura Main Road,3 BHK,1440.0,3.0,3.0,134.42,3,13441999.999999998,9334.72222222222
Super built-up  Area,19-May,Electronic City,4 BHK,2260.5,5.0,1.0,91.73,4,9173000.0,4057.9517805795176
Super built-up  Area,Ready To Move,Bannerghatta Road,3 Bedroom,1831.0,4.0,0.0,95.76,3,9576000.0,5229.92900054615
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1133.0,1.0,3.0,73.67,2,7367000.0,6502.206531332745
Carpet  Area,Ready To Move,Vidyaranyapura Phase 2,1 BHK,561.0,1.0,1.0,55.76,1,5576000.0,9939.39393939394
Built-up  Area,18-Nov,Varthur,3 BHK,1746.74,3.0,2.0,77.44,3,7744000.0,4433.401651075718
Super built-up  Area,Ready To Move,Sathanur Enclave,3 BHK,1790.0,2.0,1.0,118.36,3,11836000.0,6612.290502793296
Carpet  Area,Ready To Move,Jayanagar,3 BHK,1640.33,3.0,2.0,145.46,3,14546000.0,8867.727835252663
Plot  Area,19-Mar,Kanakapura Road,2 BHK,1291.44,1.0,1.0,61.5,2,6150000.0,4762.125998884965
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1772.43,3.0,3.0,106.0,3,10600000.0,5980.490061666751
Super built-up  Area,Ready To Move,Sarjapur Road,1 BHK,766.0,1.0,3.0,51.23,1,5123000.0,6687.98955613577
Super built-up  Area,18-Nov,Sarjapur Road,1 BHK,643.0,1.0,0.0,32.92,1,3292000.0,5119.7511664074655
Plot  Area,Ready To Move,Sarjapur Road,3 BHK,1719.0,3.0,1.0,78.28,3,7828000.0,4553.810354857475
Built-up  Area,19-May,Kengeri,3 BHK,2079.0,3.0,2.0,69.09,3,6909000.0,3323.2323232323233
Super built-up  Area,18-Jun,Vasanthapura Phase 1,3 BHK,2036.0,2.0,0.0,215.13,3,21513000.0,10566.30648330059
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1496.0,3.0,1.0,67.56,3,6756000.0,4516.042780748663
Built-up  Area,18-Dec,Sarjapur Road,2 Bedroom,1133.0,1.0,1.0,72.85,2,7284999.999999999,6429.83230361871
Super built-up  Area,18-Dec,Vasanthapura Phase 1,4 BHK,2684.3849999999998,3.0,0.0,274.62,4,27462000.0,10230.276208517036
Plot  Area,Ready To Move,Cv Raman Nagar,1 BHK,461.0,1.0,2.0,32.24,1,3224000.0,6993.492407809111
Carpet  Area,Ready To Move,Rt Nagar,3 BHK,1822.0,4.0,3.0,120.33,3,12033000.0,6604.281009879253
Plot  Area,Ready To Move,Yelenahalli Enclave,2 Bedroom,1257.0,3.0,0.0,96.64,2,9664000.0,7688.146380270486
Carpet  Area,19-May,Basavanagudi,2 BHK,1332.5,1.0,2.0,146.56,2,14656000.0,10998.874296435271
Built-up  Area,19-Aug,Kengeri,4 BHK,2340.0,4.0,1.0,100.22,4,10022000.0,4282.9059829059825
Super built-up  Area,19-Mar,Chandapura Main Road,2 BHK,887.26,2.0,2.0,79.72,2,7972000.0,8984.964948267701
Carpet  Area,18-Dec,Rajaji Nagar,1 BHK,573.0,1.0,1.0,54.27,1,5427000.0,9471.204188481675
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1068.17,2.0,0.0,47.75,2,4775000.0,4470.262224177799
Carpet  Area,Ready To Move,Electronic City,3 BHK,1861.47,2.0,0.0,77.59,3,7759000.0,4168.211144955331
Built-up  Area,18-Nov,Electronic City,3 BHK,1772.0,3.0,3.0,71.72,3,7172000.0,4047.4040632054175
Built-up  Area,Ready To Move,Electronic City,3 BHK,1759.0,3.0,1.0,81.95,3,8195000.0,4658.897100625355
Super built-up  Area,19-Mar,Banashankari,2 BHK,981.82,2.0,3.0,59.23,2,5923000.0,6032.674013566641
Super built-up  Area,Ready To Move,Btm Layout,4 BHK,2055.0,3.0,2.0,148.06,4,14806000.0,7204.866180048662
Super built-up  Area,Ready To Move,Btm Layout,2 BHK,1149.0,2.0,2.0,79.41,2,7941000.0,6911.227154046997
